variant,b6,b6_ot,n_seeds_b6,b7,b7_ot,n_seeds_b7,b8,b8_ot,n_seeds_b8,score_ot,score_argmax
a9b,0.9164729960815324,0.9360529025093968,1,0.9960580796477118,0.9960580796477118,1,0.7726759084591303,0.8077810632724921,1,,
a7b,0.9148949027639776,0.9566001187419508,1,0.9820581409160895,0.9904327627325592,1,0.7888400327424718,0.9465515928292589,1,,
a2bl,0.9125701664471221,0.927095789399122,1,0.9688828355468765,0.9902570469792424,1,0.7815918818230103,0.9299937962286969,1,,
a3w,0.9213278742654553,0.9685596539972692,1,0.9760157627319885,0.9901023510831993,1,0.7982102154586829,0.9390803172182163,1,,
a3,0.9126423460561296,0.9833409626649031,1,0.9745659605542459,0.9816234410273985,1,0.7823387924474882,0.9496446296978514,1,,
a6b,0.9630090683685619,0.9913818043211363,1,0.9672024874128842,0.9799754055495398,1,0.938904322233887,0.9599918682970899,1,,
a5b,0.9056964273216415,0.9556934060232604,1,0.9663546618437687,0.9781975107894046,1,0.8660743952856178,0.9362714637904754,1,,
a0,0.9802587641934526,0.9916624940321622,1,0.9679226638467952,0.9753282388918575,1,0.9276999888884215,0.9495373795715093,1,,
a3dl,0.8648925608730851,0.8907164112400193,1,0.9579157042670002,0.9691958883530679,1,0.7876550952526046,0.9148282741656096,1,,
a2b,0.9102427525558577,0.9296282550941237,1,0.9507774931482471,0.9686600313766126,1,0.7728628943086334,0.9360215905895601,1,,
a4b,0.8844316909525894,0.9501705366901924,1,0.9635230667838085,0.9684062043499249,1,0.7572326283626478,0.9147625060125061,1,,
a4,0.9488832906321635,0.9810913930516919,1,0.9627159519094866,0.9655026532258583,1,0.8582379561386184,0.9016249560397375,1,,
a2,0.931819752335195,0.9486207350751387,1,0.9510405375879899,0.9609658596006224,1,0.8311251318054289,0.9612522686025408,1,,
a1l,0.8657183963456715,0.8972616654282498,1,0.9509062768152221,0.9589750477235931,1,0.918536400445063,0.9125462767633583,1,,
