split,lda,lda_cbst,lr,lr_cbst,ens_cbst,ens_cbst_prop,prop+oracle_prior,prop+em_prior,batch,n
lobo1,0.44313823020104276,0.4843009271763499,0.4547709247357455,0.5116657143454871,0.5745333899407834,0.558810010708265,0.6648991606387534,0.49324669971878093,1,445
lobo2,0.9017492603912031,0.9032621033961955,0.9347733245983697,0.9356806302255035,0.9190267961778186,0.9456194728668063,0.812688266566724,0.8124590023608876,2,1244
lobo3,0.9863939851931802,0.9863760602184666,0.9876467538371492,0.9876467538371492,0.9851423285823877,0.9858641980995749,0.9851713002414071,0.9851713002414071,3,1586
lobo4,0.8172929238546036,0.8683230775184798,0.9056527653744835,0.9056527653744835,0.8918072662856874,0.8616226901865136,0.8265334729609635,0.8321925413879437,4,161
lobo5,0.980561782939754,0.9800071982756201,0.9863486842105263,0.9863486842105263,0.980561782939754,0.9863486842105263,0.9746859576541826,0.9626307354925776,5,197
lobo6,0.948378884550486,0.9598511703379217,0.9569430143598942,0.9619826879940553,0.9619901677590654,0.9816758055855029,0.9536916676487844,0.9536916676487844,6,2300
lobo7,0.99203460035962,0.9971675295590973,0.9456027270127726,0.9804324125185434,0.9954896007491385,0.9953262193894087,0.9971237155412336,0.9967596904042941,7,3613
lobo8,0.9232481695268805,0.942538191517853,0.8601877459933852,0.8469299923168028,0.9241734136577006,0.9200818980074299,0.8721097139575401,0.8810436655780588,8,294
lobo9,0.7348516082867658,0.7398177503559563,0.7156833578440992,0.7219668195289944,0.7393687503759367,0.7398177503559563,0.7479831676963022,0.7506736377972044,9,470
fwd7,0.9431088072180902,0.9928243628958121,0.8892165912991051,0.9370129482762479,0.9962383410194956,0.9983764161548502,0.9796373146570287,0.9689674292642017,7,3613
fwd8,0.8879124743325516,0.9073282019277443,0.8501900850251305,0.8438861412287301,0.8970664152137555,0.8944959889926434,0.8618611120219307,0.8600758486056538,8,294
fwd9,0.7348516082867658,0.7398177503559563,0.7156833578440992,0.7219668195289944,0.7393687503759367,0.7398177503559563,0.7479831676963022,0.7506736377972044,9,470
